"","workerid","rt","content","subjectGender","speakerGender","verb","utterance","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes"
"1",0,15080,"Jackson ran 10 miles","F","M","acknowledge","Did Laura acknowledge that Jackson ran 10 miles?","13","C","Yes",2,55,"english","Yes","y","m","yes",3.92585
"2",0,8390,"Frank got a cat","F","F","prove","Did Melissa prove that Frank got a cat?","12","C","No",3,55,"english","Yes","y","m","yes",3.92585
"3",0,7847,"Tony had a drink last night","F","F","see","Did Rebecca see that Tony had a drink last night?","15","NonProj","No",4,55,"english","Yes","y","m","yes",3.92585
"4",0,19670,"Jayden rented a car","F","M","suggest","Did Stephanie suggest that Jayden rented a car?","14","C","No",5,55,"english","Yes","y","m","yes",3.92585
"5",0,31181,"Julian dances salsa","F","F","pretend","Did Kathleen pretend that Julian dances salsa?","18","NonProj","No",6,55,"english","Yes","y","m","yes",3.92585
"6",0,10619,"Josie went on vacation to France","M","M","know","Does Scott know that Josie went on vacation to France?","2","NonProj","Yes",7,55,"english","Yes","y","m","yes",3.92585
"7",0,6952,"Jon walks to work","F","F","admit","Did Ruth admit that Jon walks to work?","19","C","Yes",8,55,"english","Yes","y","m","yes",3.92585
"8",0,9643,"Josh learned to ride a bike yesterday","F","F","think","Does Sharon think that Josh learned to ride a bike yesterday?","16","NonProj","Yes",9,55,"english","Yes","y","m","yes",3.92585
"9",0,8490,"Vanessa is good at math",NA,"M","control","Is Vanessa good at math?","control4","control","No",10,55,"english","Yes","y","m","yes",3.92585
"10",0,7029,"Emma studied on Saturday morning","M","M","discover","Did Justin discover that Emma studied on Saturday morning?","3","NonProj","Yes",11,55,"english","Yes","y","m","yes",3.92585
"11",0,14156,"Zoe calculated the tip","M","F","confirm","Did Tim confirm that Zoe calculated the tip?","10","C","Yes",12,55,"english","Yes","y","m","yes",3.92585
"12",0,5048,"Isabella ate a steak on Sunday","M","M","reveal","Did Kevin reveal that Isabella ate a steak on Sunday?","7","NonProj","Yes",13,55,"english","Yes","y","m","yes",3.92585
"13",0,5082,"Zack is coming to the meeting tomorrow",NA,"F","control","Is Zack coming to the meeting tomorrow?","control1","control","No",14,55,"english","Yes","y","m","yes",3.92585
"14",0,7488,"Danny ate the last cupcake","F","F","hear","Did Amanda hear that Danny ate the last cupcake?","11","C","Yes",15,55,"english","Yes","y","m","yes",3.92585
"15",0,7670,"Mary is pregnant","M","F","confess","Did Patrick confess that Mary is pregnant?","1","C","Yes",16,55,"english","Yes","y","m","yes",3.92585
"16",0,6460,"Mary&quotechars aunt is sick",NA,"F","control","Is Mary&quotechars aunt sick?","control2","control","No",17,55,"english","Yes","y","m","yes",3.92585
"17",0,6044,"Hendrick&quotechars car was expensive",NA,"F","control","Was Hendrick&quotechars car expensive?","control6","control","No",18,55,"english","Yes","y","m","yes",3.92585
"18",0,5701,"Owen shoveled snow last winter","F","F","be_right_that","Is Cynthia right that Owen shoveled snow last winter?","17","C","No",19,55,"english","Yes","y","m","yes",3.92585
"19",0,5991,"Emily bought a car yesterday","M","M","annoyed","Is Brian annoyed that Emily bought a car yesterday?","8","NonProj","Yes",20,55,"english","Yes","y","m","yes",3.92585
"20",0,6074,"Mia drank 2 cocktails last night","M","F","demonstrate","Did Ray demonstrate that Mia drank 2 cocktails last night?","6","C","No",21,55,"english","Yes","y","m","yes",3.92585
